,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.94,0.29,0.7901279610482399,0.7971428571428573,0.7899324901233787
forward_negation,0.97,0.31,0.8169203835380308,0.8285714285714287,0.8200582254019624
backward_negation,0.86,0.26,0.7345459409871176,0.7600000000000001,0.7386344156264393
forward_randomized_order,0.93,0.22,0.6922528534846648,0.7714285714285716,0.7196258340266979
backward_randomized_order,0.77,0.1,0.6243916369578134,0.5914285714285714,0.5911870998163714
forward_all,0.96,0.24,0.7228518100836214,0.7757142857142858,0.7397508656725705
backward_all,0.73,0.12,0.6423639840551604,0.6471428571428571,0.6314044200655182
direction,0.97,0.27,0.7480850130261897,0.762857142857143,0.7464542570502405
all,0.96,0.26,0.75543654135682,0.7714285714285716,0.7561550266034608
