,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.8679245283018868,0.11320754716981132,0.7860280797017757,0.7941680960548885,0.7847622566328448
forward_negation,0.8867924528301887,0.18867924528301888,0.8091868915398328,0.8421955403087479,0.8213978077975739
backward_negation,0.7547169811320755,0.1320754716981132,0.7364690516174249,0.7495711835334476,0.7299642133264866
forward_randomized_order,0.7169811320754716,0.09433962264150944,0.685926979407907,0.7924528301886795,0.7283848998847524
backward_randomized_order,0.5849056603773585,0.07547169811320754,0.6781962549720596,0.6174957118353345,0.6276349048170995
forward_all,0.9245283018867925,0.09433962264150944,0.6994508584145829,0.7890222984562609,0.7334110373083735
backward_all,0.6226415094339622,0.07547169811320754,0.668480647838379,0.6415094339622642,0.6342757135975702
direction,0.8113207547169812,0.1320754716981132,0.7705857128443143,0.7821612349914236,0.7679293921311382
all,0.9245283018867925,0.16981132075471697,0.7543210643099655,0.7753001715265867,0.7541909593630185
