,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.89,0.12,0.7711278698941237,0.7981818181818183,0.7787450934242625
forward_negation,0.9,0.16,0.7784731809298373,0.8218181818181819,0.7940246481975014
backward_negation,0.81,0.13,0.7232945600151482,0.740909090909091,0.7207565238568159
forward_randomized_order,0.82,0.12,0.7093342245989307,0.8036363636363636,0.747353824037274
backward_randomized_order,0.64,0.07,0.6785861981156098,0.5936363636363637,0.6075365471805684
forward_all,0.91,0.14,0.7239011157401251,0.8054545454545453,0.7558077955290484
backward_all,0.69,0.07,0.6661429155210115,0.6200000000000001,0.617722818637655
direction,0.85,0.13,0.7591898906906649,0.7772727272727272,0.7596219898665063
all,0.92,0.14,0.74331757836247,0.7654545454545453,0.7443814529714863
