,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.9148936170212766,0.1276595744680851,0.754325505642942,0.802707930367505,0.7719597817209678
forward_negation,0.9148936170212766,0.1276595744680851,0.743838571093034,0.7988394584139266,0.7631570426910368
backward_negation,0.8723404255319149,0.1276595744680851,0.7084382184210917,0.7311411992263055,0.7103733846676127
forward_randomized_order,0.9361702127659575,0.14893617021276595,0.7357296287505101,0.8162475822050288,0.7687443129752242
backward_randomized_order,0.7021276595744681,0.06382978723404255,0.6790259212349326,0.5667311411992262,0.58487244176065
forward_all,0.8936170212765957,0.19148936170212766,0.7514726825114809,0.8239845261121856,0.7810637143736394
backward_all,0.7659574468085106,0.06382978723404255,0.6635067492907886,0.5957446808510638,0.599056788150942
direction,0.8936170212765957,0.1276595744680851,0.746339282730166,0.7717601547388782,0.7502540681638364
all,0.9148936170212766,0.10638297872340426,0.7309093920812515,0.7543520309477756,0.7333196691682691
