,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
double_backward_negation,0.75,0.03,0.6582279582302801,0.4954545454545455,0.5392080186430664
single_backward_neg,0.71,0.05,0.6699541021843654,0.5,0.5426854407997815
single_backward,0.68,0.0,0.6326809350779939,0.4736363636363636,0.5154230235807343
double_forward_negation,0.93,0.22,0.8115624481727424,0.8181818181818182,0.8087125127470531
single_forward_neg,0.92,0.2,0.8101343158475512,0.81,0.8033835992906324
single_forward,0.85,0.16,0.7984222738046267,0.8018181818181818,0.7934534197833648
double_baseline_negation,0.92,0.16,0.7765534979726155,0.7845454545454545,0.7720316802406292
single_baseline_neg,0.91,0.16,0.7803767449870392,0.7863636363636364,0.7758368605803235
single_baseline,0.88,0.11,0.7730356641982028,0.7672727272727272,0.7617439287461285
