,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
double_backward_negation,0.7659574468085106,0.0,0.6570083094488601,0.48936170212765956,0.5380986619274287
single_backward_neg,0.6808510638297872,0.0425531914893617,0.6819575519043605,0.49903288201160545,0.5454974324736311
single_backward,0.7659574468085106,0.0,0.6570083094488601,0.48936170212765956,0.5380986619274287
double_forward_negation,0.8936170212765957,0.1702127659574468,0.7863617990964673,0.8046421663442939,0.7898666814129331
single_forward_neg,0.8723404255319149,0.1276595744680851,0.783323219681167,0.7872340425531912,0.7785285676758676
single_forward,0.8936170212765957,0.1702127659574468,0.7819291749829921,0.8027079303675049,0.7869551472425141
double_baseline_negation,0.9148936170212766,0.1276595744680851,0.7494105880213515,0.7698259187620891,0.7504839788806082
single_baseline_neg,0.8936170212765957,0.1276595744680851,0.7528170237494393,0.769825918762089,0.7543247881140004
single_baseline,0.9148936170212766,0.1276595744680851,0.7500327107039445,0.7717601547388783,0.7515111248957429
