,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
double_backward_negation,0.9555555555555556,0.37777777777777777,0.8548412698412698,0.7407407407407406,0.779766851385295
single_backward_neg,0.9555555555555556,0.37777777777777777,0.8548412698412698,0.7407407407407406,0.779766851385295
single_backward,0.8444444444444444,0.4444444444444444,0.8638888888888889,0.7555555555555555,0.7948340060307469
double_forward_negation,0.9777777777777777,0.7333333333333333,0.886111111111111,0.8888888888888888,0.8853101956296128
single_forward_neg,0.9777777777777777,0.7333333333333333,0.886111111111111,0.8888888888888888,0.8853101956296128
single_forward,0.8888888888888888,0.7111111111111111,0.8876543209876543,0.8740740740740741,0.874429965367386
double_baseline_negation,1.0,0.6888888888888889,0.8481481481481481,0.8592592592592592,0.850832081381067
single_baseline_neg,1.0,0.6888888888888889,0.8481481481481481,0.8592592592592592,0.850832081381067
single_baseline,0.8444444444444444,0.7333333333333333,0.8780864197530863,0.8740740740740741,0.8700721010359624
