,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.9565217391304348,0.15217391304347827,0.7474596818132286,0.7732919254658384,0.7539440665073577
baseline_neg,0.8478260869565217,0.13043478260869565,0.7141905164502419,0.7639751552795029,0.7290679904246001
double_baseline_negation,0.9565217391304348,0.15217391304347827,0.7474596818132286,0.7732919254658384,0.7539440665073577
forward_ltsbs,0.9782608695652174,0.1956521739130435,0.7698930296756382,0.7981366459627326,0.7807157941360476
forward_neg_ltsbs,0.8695652173913043,0.15217391304347827,0.727513277785017,0.7857142857142855,0.7466066269276785
double_forward_negation,0.9782608695652174,0.1956521739130435,0.7698930296756382,0.7981366459627326,0.7807157941360476
backward_ltsbs,0.8260869565217391,0.0,0.581232924058338,0.6055900621118013,0.5765136176439973
backward_neg_ltsbs,0.5652173913043478,0.021739130434782608,0.5535077897155566,0.6366459627329193,0.5747421918107662
double_backward_negation,0.8260869565217391,0.0,0.581232924058338,0.6055900621118013,0.5765136176439973
