,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.91,0.61,0.7974336219336219,0.8699999999999999,0.8199778072628281
baseline_neg,0.95,0.66,0.8383988095238096,0.8833333333333334,0.8536261756473036
double_baseline_negation,0.98,0.61,0.8063750000000001,0.8666666666666667,0.8259121124070715
forward_ltsbs,0.9,0.65,0.8097011599511599,0.8666666666666666,0.8262531755722735
forward_neg_ltsbs,0.94,0.68,0.8550892857142859,0.89,0.8665197623147648
double_forward_negation,0.94,0.66,0.8213789682539684,0.8733333333333334,0.8371935499106163
backward_ltsbs,0.9,0.18,0.7777057387057387,0.7666666666666667,0.7532556682875134
backward_neg_ltsbs,0.92,0.17,0.7345245310245311,0.7466666666666667,0.7182478154590367
double_backward_negation,0.95,0.15,0.7806673881673882,0.7466666666666667,0.7419462280467917
