,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.9629629629629629,0.2962962962962963,0.793428330928331,0.8280423280423279,0.8057852570054967
baseline_neg,0.9074074074074074,0.2037037037037037,0.7613418474529586,0.7804232804232805,0.7646541235998994
double_baseline_negation,0.9074074074074074,0.2037037037037037,0.7613418474529586,0.7804232804232805,0.7646541235998994
forward_ltsbs,0.9444444444444444,0.25925925925925924,0.7543641029752141,0.8015873015873015,0.7704955883030437
forward_neg_ltsbs,0.9629629629629629,0.2777777777777778,0.769887293171607,0.8068783068783069,0.782534902575359
double_forward_negation,0.9629629629629629,0.2777777777777778,0.769887293171607,0.8068783068783069,0.782534902575359
backward_ltsbs,0.6851851851851852,0.0,0.5802897477734079,0.6084656084656085,0.5801112856800299
backward_neg_ltsbs,0.7222222222222222,0.0,0.5581848827763859,0.597883597883598,0.560983523396342
double_backward_negation,0.7222222222222222,0.0,0.5581848827763859,0.597883597883598,0.560983523396342
