,0,1,2,3,4
metric,avg_label_acc,avg_cot_acc,avg_cot_precision,avg_cot_recall,avg_cot_f1
baseline,0.96,0.23,0.772282752335384,0.8028571428571429,0.7819383093763531
baseline_neg,0.88,0.17,0.7396522351917091,0.7728571428571429,0.7482845023392619
double_baseline_negation,0.93,0.18,0.7549560512586829,0.7771428571428572,0.7597274973373304
forward_ltsbs,0.96,0.23,0.7615074092574093,0.8000000000000002,0.7751968829862257
forward_neg_ltsbs,0.92,0.22,0.7503952460937755,0.797142857142857,0.766007895777426
double_forward_negation,0.97,0.24,0.7698899319634614,0.8028571428571429,0.7816981126932759
backward_ltsbs,0.75,0.0,0.5807236088644757,0.6071428571428572,0.578456358383455
backward_neg_ltsbs,0.65,0.01,0.5560334199684046,0.6157142857142857,0.5673125108669772
double_backward_negation,0.77,0.0,0.568786981766084,0.6014285714285714,0.5681273667502635
